qid,ndcg10,recall10,recall100,mrr,num_relevant
10257,0.6309297535714575,1.0,1.0,0.5,1
10259,1.0,1.0,1.0,1.0,1
10271,0.6309297535714575,1.0,1.0,0.5,1
10272,1.0,1.0,1.0,1.0,2
10276,0.9060254355346823,1.0,1.0,1.0,3
10286,0.3562071871080222,1.0,1.0,0.16666666666666666,1
10287,0.5,1.0,1.0,0.3333333333333333,1
10291,0.18154179253735267,0.3333333333333333,1.0,0.2,3
10294,0.6309297535714575,1.0,1.0,0.5,1
10297,1.0,1.0,1.0,1.0,1
1030,0.5413996682199069,0.5,1.0,1.0,4
10301,0.9374130297304558,1.0,1.0,1.0,5
10306,1.0,1.0,1.0,1.0,1
1031,0.38685280723454163,0.5,0.5,0.5,2
10314,1.0,1.0,1.0,1.0,1
10320,1.0,1.0,1.0,1.0,1
10330,0.0,0.0,1.0,0.0625,1
10331,1.0,1.0,1.0,1.0,2
10332,0.5,1.0,1.0,0.3333333333333333,1
10333,1.0,1.0,1.0,1.0,1
10334,0.6934264036172708,1.0,1.0,0.5,2
10335,0.5383087035438704,0.6666666666666666,1.0,0.3333333333333333,9
10340,0.4367467095119258,0.6666666666666666,1.0,0.3333333333333333,3
10342,0.3065735963827292,0.5,1.0,0.3333333333333333,2
1035,1.0,1.0,1.0,1.0,1
10361,1.0,1.0,1.0,1.0,1
10366,0.9674679834891693,1.0,1.0,1.0,3
10368,1.0,1.0,1.0,1.0,1
10378,1.0,1.0,1.0,1.0,1
10380,0.8772153153380493,1.0,1.0,1.0,2
10382,1.0,1.0,1.0,1.0,1
10385,1.0,1.0,1.0,1.0,2
10398,0.5,1.0,1.0,0.3333333333333333,1
104,0.0,0.0,1.0,0.014925373134328358,1
10401,1.0,1.0,1.0,1.0,1
10403,0.5,1.0,1.0,0.3333333333333333,1
10415,1.0,1.0,1.0,1.0,3
10416,1.0,1.0,1.0,1.0,2
10418,0.9674679834891693,1.0,1.0,1.0,3
10427,1.0,1.0,1.0,1.0,1
10438,0.43067655807339306,1.0,1.0,0.25,1
1044,1.0,1.0,1.0,1.0,2
10444,0.6049306994552042,0.6666666666666666,1.0,1.0,3
10449,0.8048099750039491,0.75,1.0,1.0,4
10451,1.0,1.0,1.0,1.0,3
10456,0.9469024295259745,1.0,1.0,1.0,3
10459,0.5706417189553201,1.0,1.0,0.3333333333333333,2
10476,1.0,1.0,1.0,1.0,1
1048,1.0,1.0,1.0,1.0,1
10486,0.0,0.0,0.0,0.0,1
1049,0.43067655807339306,1.0,1.0,0.25,1
10490,0.6052602440527057,1.0,1.0,0.5,2
10506,0.9404511968899847,1.0,1.0,1.0,6
1051,1.0,1.0,1.0,1.0,1
10514,0.14126697285982898,0.3333333333333333,0.3333333333333333,0.1111111111111111,3
10515,1.0,1.0,1.0,1.0,1
10516,1.0,1.0,1.0,1.0,3
10526,1.0,1.0,1.0,1.0,1
10527,1.0,1.0,1.0,1.0,1
10529,0.7757386182436072,0.75,1.0,1.0,4
10543,1.0,1.0,1.0,1.0,1
10552,0.9197207891481876,1.0,1.0,1.0,2
10553,0.6366824387328317,0.5,1.0,1.0,4
10563,0.8772153153380493,1.0,1.0,1.0,2
10573,0.0,0.0,1.0,0.03125,3
10574,1.0,1.0,1.0,1.0,1
10576,1.0,1.0,1.0,1.0,2
10582,0.9505310077117098,1.0,1.0,1.0,5
10590,0.15130120674940672,0.16666666666666666,0.5,0.3333333333333333,6
10595,1.0,1.0,1.0,1.0,2
10596,1.0,1.0,1.0,1.0,1
1060,0.0,0.0,1.0,0.08333333333333333,1
10601,0.6005491084563833,1.0,1.0,0.5,3
10606,1.0,1.0,1.0,1.0,2
10609,1.0,1.0,1.0,1.0,1
10616,1.0,1.0,1.0,1.0,2
10618,1.0,1.0,1.0,1.0,1
1062,0.0,0.0,0.5,0.024390243902439025,2
10624,1.0,1.0,1.0,1.0,2
1064,0.9197207891481876,1.0,1.0,1.0,2
10641,0.9197207891481876,1.0,1.0,1.0,2
10651,1.0,1.0,1.0,1.0,2
10653,0.6131471927654584,0.5,1.0,1.0,2
10664,0.4412576003965278,0.4,1.0,1.0,5
10665,1.0,1.0,1.0,1.0,1
10681,0.38685280723454163,0.5,1.0,0.5,2
10683,1.0,1.0,1.0,1.0,1
10685,1.0,1.0,1.0,1.0,2
10692,0.9135166374400684,1.0,1.0,1.0,7
10698,0.14126697285982898,0.3333333333333333,0.3333333333333333,0.1111111111111111,3
107,0.2960819109658652,0.3333333333333333,1.0,0.5,3
1070,1.0,1.0,1.0,1.0,1
10710,0.9217868789962071,1.0,1.0,1.0,3
10717,0.735916889650613,0.6666666666666666,0.8333333333333334,1.0,6
10722,1.0,1.0,1.0,1.0,1
10728,0.6131471927654584,0.5,1.0,1.0,2
10732,0.6309297535714575,1.0,1.0,0.5,1
10738,1.0,1.0,1.0,1.0,4
10739,1.0,1.0,1.0,1.0,1
10743,0.5508095940041026,1.0,1.0,0.25,3
10746,1.0,1.0,1.0,1.0,2
1075,0.0,0.0,0.0,0.0,1
10754,0.8318724637288826,0.75,1.0,1.0,4
10760,0.9010126104210695,1.0,1.0,1.0,3
10761,1.0,1.0,1.0,1.0,1
10764,0.6309297535714575,1.0,1.0,0.5,1
10766,0.2640681225725909,0.5,1.0,0.25,2
10768,0.9060254355346823,1.0,1.0,1.0,3
10772,1.0,1.0,1.0,1.0,2
10774,0.3562071871080222,1.0,1.0,0.16666666666666666,1
1078,1.0,1.0,1.0,1.0,1
10785,0.3889580943680543,1.0,1.0,0.14285714285714285,2
10786,0.810582531061383,1.0,1.0,1.0,4
10791,0.16812753627111746,0.25,1.0,0.25,4
108,0.0,0.0,0.0,0.0,1
10806,1.0,1.0,1.0,1.0,2
10811,1.0,1.0,1.0,1.0,1
10823,0.6934264036172708,1.0,1.0,0.5,2
10825,1.0,1.0,1.0,1.0,2
10846,1.0,1.0,1.0,1.0,1
10849,0.7653606369886217,0.6666666666666666,1.0,1.0,3
10862,0.6131471927654584,0.5,0.5,1.0,2
10868,0.43067655807339306,1.0,1.0,0.25,1
10870,0.7039180890341347,0.6666666666666666,1.0,1.0,3
10878,1.0,1.0,1.0,1.0,1
10892,0.8772153153380493,1.0,1.0,1.0,2
10897,0.6131471927654584,0.5,1.0,1.0,2
10899,0.6309297535714575,1.0,1.0,0.5,1
1090,0.8772153153380493,1.0,1.0,1.0,2
10912,0.2890648263178879,1.0,1.0,0.1,1
10913,0.9217868789962071,1.0,1.0,1.0,3
10922,0.6309297535714575,1.0,1.0,0.5,1
10927,0.5249810332008933,1.0,1.0,0.3333333333333333,2
10930,1.0,1.0,1.0,1.0,4
10936,0.6131471927654584,0.5,1.0,1.0,2
10945,0.38685280723454163,0.5,1.0,0.5,2
10947,1.0,1.0,1.0,1.0,2
1096,0.9550236580992476,1.0,1.0,1.0,4
10966,1.0,1.0,1.0,1.0,2
10977,0.0,0.0,1.0,0.011764705882352941,1
10979,1.0,1.0,1.0,1.0,5
110,0.9197207891481876,1.0,1.0,1.0,2
11004,1.0,1.0,1.0,1.0,1
11008,0.5802792108518124,1.0,1.0,0.5,2
11013,1.0,1.0,1.0,1.0,1
1102,0.5646436081071458,0.75,1.0,0.5,4
11025,0.38685280723454163,1.0,1.0,0.2,1
11028,1.0,1.0,1.0,1.0,1
11032,1.0,1.0,1.0,1.0,3
11033,0.6131471927654584,0.5,1.0,1.0,2
11036,0.0,0.0,0.0,0.0,1
11041,0.43067655807339306,1.0,1.0,0.25,1
11044,1.0,1.0,1.0,1.0,4
11055,0.8687949224876582,0.8,0.8,1.0,5
1106,1.0,1.0,1.0,1.0,1
11069,0.31546487678572877,1.0,1.0,0.125,1
11075,1.0,1.0,1.0,1.0,1
11081,0.9217868789962071,1.0,1.0,1.0,3
11082,0.6309297535714575,1.0,1.0,0.5,1
11084,0.6309297535714575,1.0,1.0,0.5,1
11093,0.7757386182436072,0.75,1.0,1.0,4
11095,0.2890648263178879,1.0,1.0,0.1,1
11108,0.8051628502199798,0.8,1.0,1.0,5
11115,1.0,1.0,1.0,1.0,1
11116,1.0,1.0,1.0,1.0,1
11117,0.8687949224876582,0.8,1.0,1.0,5
11119,0.7757386182436072,0.75,1.0,1.0,4
11121,0.21840743681816419,0.5,1.0,0.16666666666666666,2
11129,0.4776237035032179,0.6666666666666666,1.0,0.5,3
1113,0.38685280723454163,1.0,1.0,0.2,1
11140,1.0,1.0,1.0,1.0,1
11146,0.892210845475489,0.8333333333333334,1.0,1.0,6
11151,0.19519002499605084,0.25,1.0,0.3333333333333333,4
11154,1.0,1.0,1.0,1.0,1
11161,0.4227898344066503,1.0,1.0,0.16666666666666666,2
11164,0.5,1.0,1.0,0.3333333333333333,1
11166,1.0,1.0,1.0,1.0,1
11171,0.6934264036172708,1.0,1.0,0.5,2
11179,0.9361705073520016,1.0,1.0,1.0,6
11183,0.8276904491046954,1.0,1.0,1.0,4
